"","s_1","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_17","s_18","s_19","s_2","s_20","s_21","s_22","s_23","s_24","s_25","s_26","s_28","s_29","s_30","s_31","s_32","s_34","s_35","s_36","s_37","s_38","s_4","s_5","s_6","s_7","s_8","s_9"
"THRA1",405.567519124274,496.573239882853,556.04652717116,508.533836145877,456.622399608848,429.615063676123,653.052198493013,634.950685539036,494.721321913365,458.812299383445,430.907948326039,414.018317907188,545.320276748701,534.313480643861,768.501793485403,635.271396951244,563.748143624847,605.089396094323,508.966591921723,415.950016942902,497.96209537115,718.261047674704,582.535618194068,625.491375002654,399.371055395264,487.16463494989,493.144375416382,432.131063813516,303.39206907359,580.723357438286,745.943375360412,588.552010713035,719.356899010666,672.450828819761,648.123042276563
"THRA2",458.870678780608,534.944808419255,610.942840363217,563.426490556736,527.269638793613,495.099114952391,710.481411928328,708.990871485285,535.948098739479,534.896751039996,463.97522493619,450.229832592947,601.847378606798,568.059595210842,837.539779661397,688.788800126544,636.37827255811,660.033485611619,577.497397402152,477.763022556708,550.036562860944,806.662407388514,633.541040985254,706.5452695629,423.872347137305,525.837656918661,533.349776724214,474.605484615699,344.045100661614,639.240124323011,796.261449201291,639.030011631854,795.554487954345,741.142042516403,709.765179449606
