Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1	433970000	2738967	79032	8679400	0.938401041547	429897621
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1	555330450	3552975	83689	11106609	0.915422339978	550246831
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1	568271100	3634640	100666	11365422	0.917453659002	563057476
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1	562964100	3524502	89842	11259282	0.897847837899	557909539
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1	573324650	3593522	107730	11466493	0.902003951862	568153239
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1	616321150	3986347	101564	12326423	0.937213496567	610544905
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1	631811300	4086624	120825	12636226	0.939463254298	625875665
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1	469478500	3013470	70706	9389570	0.91546364743	465180595
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1	483332200	3098992	86612	9666644	0.917019805426	478899948
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1	603033300	3732817	94689	12060666	0.88110225422	597719960
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1	620653050	3837904	114228	12413061	0.88262516393	615175010
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1	962736150	6237988	151307	19254723	0.93836353813	953702185
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1	994174300	6439818	183340	19883486	0.941623314946	984812923
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1	461668450	2913096	66102	9233369	0.906650216189	457482732
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1	474803800	2990431	80931	9496076	0.907456511511	470495162
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1	266627150	1598830	39642	5332543	0.869638369536	264308458
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1	274063750	1641658	48786	5481275	0.872264938358	271673188
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1	415741350	2640206	65902	8314827	0.922913248826	411904418
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1	427947250	2715627	78811	8558945	0.925267775409	423987592
