Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-avg_sequence_length	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_gc	STAR_mqc-generalstats-uniquely_mapped_percent	STAR_mqc-generalstats-uniquely_mapped	QualiMap_mqc-generalstats-reads_aligned	featureCounts_mqc-generalstats-Assigned	featureCounts_mqc-generalstats-percent_assigned	QualiMap_mqc-generalstats-5_3_bias
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1	33.3333333333	70.8213816783	9231383.0	49.5566882015	0.906650216189	49.0						
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							60.54	5588359.0				
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8783284.0	2671435	16.1390677161	1.29
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1	41.6666666667	72.8521513188	9493985.0	49.5565040391	0.907456511511	49.0						
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							60.49	5742972.0				
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									9031471.0	2745170	16.1228909907	1.35
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1	41.6666666667	77.2854650095	5330640.0	49.581120841	0.869638369536	51.0						
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.62	3498136.0				
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									4975413.0	986476	11.8117158309	1.84
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1	41.6666666667	78.9299710476	5479295.0	49.5801512786	0.872264938358	51.0						
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.53	3590802.0				
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									5112096.0	1011585	11.7712393963	1.69
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1	41.6666666667	63.3472648189	8312704.0	49.5503510049	0.922913248826	49.0						
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.3	5428340.0				
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7910498.0	2576658	18.3754161493	1.44
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1	41.6666666667	65.7062391552	8556714.0	49.5493399686	0.925267775409	49.0						
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.24	5582454.0				
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									8142445.0	2646242	18.3219919543	1.53
