Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-avg_sequence_length	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_gc	STAR_mqc-generalstats-uniquely_mapped_percent	STAR_mqc-generalstats-uniquely_mapped	QualiMap_mqc-generalstats-reads_aligned	featureCounts_mqc-generalstats-Assigned	featureCounts_mqc-generalstats-percent_assigned	QualiMap_mqc-generalstats-5_3_bias
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1	33.3333333333	71.9785997839	11553366.0	49.5553820419	0.902167194773	50.0						
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.73	7594415.0				
SLX-14347.D702_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									10938730.0	3180310	16.7091025995	1.57
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1	41.6666666667	62.7493934718	9902793.0	49.5486292605	0.917603121043	50.0						
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.65	6600243.0				
SLX-14347.D703_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									9350505.0	3465664	21.6665167285	1.36
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1	41.6666666667	64.9947762257	10214150.0	49.5476906057	0.919533330495	50.0						
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.61	6803999.0				
SLX-14347.D703_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									9638166.0	3572644	21.6700246522	1.49
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1	41.6666666667	70.1403545083	10984856.0	49.5602405712	0.894891387521	50.0						
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.69	7325512.0				
SLX-14347.D703_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10306316.0	3229399	18.6328415156	1.13
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1	41.6666666667	72.2997443552	11365730.0	49.5593345962	0.897213926068	50.0						
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.63	7573526.0				
SLX-14347.D703_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									10657929.0	3336427	18.6014160913	1.13
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1	41.6666666667	69.7479679868	7978384.0	49.5694010216	0.884374934605	51.0						
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.14	5277089.0				
SLX-14347.D703_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7444830.0	2233276	17.7079443102	1.35
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1	41.6666666667	72.0128275383	8244027.0	49.5685995449	0.885546281629	51.0						
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.04	5444304.0				
SLX-14347.D703_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									7689479.0	2309126	17.6951870338	1.3
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1	41.6666666667	70.7494286774	12776865.0	49.5667753396	0.882750373477	51.0						
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							67.93	8679326.0				
SLX-14347.D704_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									11807381.0	3696716	19.203241644	1.1
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1	41.6666666667	72.5089559485	13117511.0	49.5663937312	0.88442926903	51.0						
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							67.91	8908154.0				
SLX-14347.D704_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									12116087.0	3798774	19.2335849004	1.05
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1	41.6666666667	68.500265956	11256426.0	49.556306149	0.89639294687	50.0						
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							64.42	7251463.0				
SLX-14347.D704_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10660869.0	3762060	19.8586427135	1.06
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1	41.6666666667	70.5133807207	11633785.0	49.5549508608	0.900039810601	50.0						
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							64.37	7488543.0				
SLX-14347.D704_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11015365.0	3886260	19.8450818639	1.08
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1	41.6666666667	67.6828085664	7304477.0	49.5564002734	0.90457663987	49.0						
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							60.41	4412976.0				
SLX-14347.D704_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									6909054.0	1850029	14.3876047051	1.5
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1	41.6666666667	69.7968704758	7528144.0	49.5559509754	0.905581368478	49.0						
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							60.36	4543823.0				
SLX-14347.D704_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									7118233.0	1903176	14.3572275959	1.49
SLX-14347.D705_D504.HVFCGBBXX.s_3.r_1	41.6666666667	67.6165550927	9417816.0	49.5527964233	0.905453677576	50.0						
SLX-14347.D705_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.62	6274593.0				
SLX-14347.D705_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8861427.0	3118182	20.6626053786	1.04
SLX-14347.D705_D504.HVFCGBBXX.s_4.r_1	41.6666666667	69.4425893227	9590986.0	49.5525743651	0.906913764886	50.0						
SLX-14347.D705_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.58	6385690.0				
SLX-14347.D705_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									9023662.0	3177573	20.6592902613	1.17
SLX-14347.D705_D505.HVFCGBBXX.s_3.r_1	50.0	71.2391127077	7818441.0	49.5664949061	0.8814070844	50.0						
SLX-14347.D705_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.31	5105889.0				
SLX-14347.D705_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7211849.0	2094059	17.0770576847	1.37
SLX-14347.D705_D505.HVFCGBBXX.s_4.r_1	50.0	72.9456900657	7992224.0	49.5653791736	0.884579086873	50.0						
SLX-14347.D705_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.18	5209522.0				
SLX-14347.D705_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									7367515.0	2143508	17.0858305707	1.42
SLX-14347.D705_D506.HVFCGBBXX.s_3.r_1	50.0	61.9980676852	7386381.0	49.5758414033	0.89335252364	50.0						
SLX-14347.D705_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.92	4869086.0				
SLX-14347.D705_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									6752070.0	2091159	18.648682416	1.19
SLX-14347.D705_D506.HVFCGBBXX.s_4.r_1	50.0	64.2914212295	7541683.0	49.5749639702	0.896400472664	50.0						
SLX-14347.D705_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.78	4960893.0				
SLX-14347.D705_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									6888731.0	2130761	18.5929532918	1.33
SLX-14347.D706_D504.HVFCGBBXX.s_3.r_1	41.6666666667	75.4548091774	11516498.0	49.5647043051	0.885808025118	50.0						
SLX-14347.D706_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							64.21	7395107.0				
SLX-14347.D706_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10806645.0	2954303	15.4580114727	1.33
SLX-14347.D706_D504.HVFCGBBXX.s_4.r_1	41.6666666667	77.3526122739	11868801.0	49.5635997267	0.888257992168	50.0						
SLX-14347.D706_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							64.14	7613071.0				
SLX-14347.D706_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11133479.0	3042714	15.4350459306	1.24
SLX-14347.D706_D505.HVFCGBBXX.s_3.r_1	41.6666666667	78.3042672193	8769466.0	49.5673668157	0.888820262306	49.0						
SLX-14347.D706_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							63.0	5524737.0				
SLX-14347.D706_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8160727.0	1584427	10.7763945753	1.2
SLX-14347.D706_D505.HVFCGBBXX.s_4.r_1	41.6666666667	80.0396808945	9076466.0	49.5664298197	0.890115903176	49.0						
SLX-14347.D706_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							62.91	5710412.0				
SLX-14347.D706_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									8441685.0	1638281	10.7548935727	1.44
SLX-14347.D706_D506.HVFCGBBXX.s_3.r_1	41.6666666667	73.6695673899	9442230.0	49.5768429704	0.889527826902	50.0						
SLX-14347.D706_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							62.98	5946658.0				
SLX-14347.D706_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8729291.0	2024967	13.3223800751	1.21
SLX-14347.D706_D506.HVFCGBBXX.s_4.r_1	41.6666666667	75.6384111767	9770120.0	49.5759786983	0.892438976008	50.0						
SLX-14347.D706_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							62.9	6145850.0				
SLX-14347.D706_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									9027344.0	2100220	13.3510014268	1.3
SLX-14347.D707_D504.HVFCGBBXX.s_3.r_1	41.6666666667	67.336293467	11575605.0	49.5576798794	0.902947880158	51.0						
SLX-14347.D707_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							70.74	8188553.0				
SLX-14347.D707_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									10838361.0	4233585	24.5350787208	1.06
SLX-14347.D707_D504.HVFCGBBXX.s_4.r_1	41.6666666667	69.6308081857	12084079.0	49.5560671194	0.905805532856	51.0						
SLX-14347.D707_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							70.72	8546215.0				
SLX-14347.D707_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11314703.0	4421341	24.5204394349	1.11
SLX-14347.D707_D505.HVFCGBBXX.s_3.r_1	41.6666666667	67.9719877603	8355763.0	49.5807038807	0.847599497692	49.0						
SLX-14347.D707_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							59.35	4959516.0				
SLX-14347.D707_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7465013.0	2293849	16.8555199473	1.43
SLX-14347.D707_D505.HVFCGBBXX.s_4.r_1	41.6666666667	70.3375292494	8752750.0	49.5814428608	0.846484810219	49.0						
SLX-14347.D707_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							59.23	5184279.0				
SLX-14347.D707_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									7803979.0	2394798	16.8358572846	1.24
SLX-14347.D707_D506.HVFCGBBXX.s_3.r_1	41.6666666667	72.9905227384	11839408.0	49.5567039332	0.910682216055	49.0						
SLX-14347.D707_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							60.86	7205115.0				
SLX-14347.D707_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									11178197.0	2820120	13.7298253791	1.34
SLX-14347.D707_D506.HVFCGBBXX.s_4.r_1	33.3333333333	75.0225396542	12295914.0	49.5558687219	0.913149529232	49.0						
SLX-14347.D707_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							60.76	7470843.0				
SLX-14347.D707_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11608299.0	2925933	13.6938646338	1.51
SLX-14347.D708_D504.HVFCGBBXX.s_3.r_1	41.6666666667	69.4843222874	11998926.0	49.5530036605	0.916056987133	50.0						
SLX-14347.D708_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							66.44	7971671.0				
SLX-14347.D708_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									11305651.0	3819941	19.8045684038	
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1	41.6666666667	71.610852235	12317755.0	49.5515397895	0.920269124333	50.0						
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							66.39	8177869.0				
SLX-14347.D708_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									11604394.0	3921918	19.7904260072	1.04
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1	41.6666666667	69.8685749937	9184542.0	49.5548010995	0.899193033903	48.0						
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							60.57	5562707.0				
SLX-14347.D708_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									8518215.0	2601912	16.5692241915	1.69
SLX-14347.D708_D505.HVFCGBBXX.s_4.r_1	41.6666666667	71.7457578982	9453925.0	49.5542044177	0.899848627921	48.0						
SLX-14347.D708_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							60.46	5716290.0				
SLX-14347.D708_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									8760945.0	2672690	16.5286797817	1.74
SLX-14347.D708_D506.HVFCGBBXX.s_3.r_1	41.6666666667	64.8665974525	6173900.0	49.5941855229	0.884920852648	50.0						
SLX-14347.D708_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							61.63	3805176.0				
SLX-14347.D708_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									5403119.0	1534271	16.6298864967	1.36
SLX-14347.D708_D506.HVFCGBBXX.s_4.r_1	41.6666666667	67.267262034	6350426.0	49.5940514857	0.890160713786	50.0						
SLX-14347.D708_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							61.42	3900180.0				
SLX-14347.D708_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									5547903.0	1572428	16.5637176141	1.3
SLX-14347.D709_D504.HVFCGBBXX.s_3.r_1	33.3333333333	64.4108028966	8366231.0	49.544906183	0.92264796736	49.0						
SLX-14347.D709_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.08	5444720.0				
SLX-14347.D709_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7982377.0	2877399	20.0987671671	1.31
SLX-14347.D709_D504.HVFCGBBXX.s_4.r_1	33.3333333333	66.4595276945	8601904.0	49.5434496828	0.925903754783	49.0						
SLX-14347.D709_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.08	5598386.0				
SLX-14347.D709_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									8208827.0	2961247	20.1029107143	1.36
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1	41.6666666667	71.6689067035	6705424.0	49.5563554221	0.911482598381	49.0						
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.81	4412880.0				
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									6264926.0	1575411	14.605972479	1.34
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1	41.6666666667	73.5690489838	6889646.0	49.5555313002	0.912837797248	49.0						
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							65.75	4529620.0				
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									6434898.0	1616553	14.5790573859	1.49
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1	41.6666666667	69.8367532214	8416304.0	49.5525775923	0.936830406345	48.0						
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							54.12	4554701.0				
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star									7916104.0	2012082	12.5192852601	1.32
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1	41.6666666667	72.0610286121	8675495.0	49.5521408289	0.938401041547	48.0						
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1							53.95	4680128.0				
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star									8154019.0	2069540	12.477103646	1.51
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1	33.3333333333	68.2340379029	11105181.0	49.5479330774	0.915422339978	49.0						
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1							65.08	7227108.0				
