Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
SLX-14347.D709_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	23328	0	14.605972479	0	0	0	0	1575411	6373194	0	2814141	0	10786074
SLX-14347.D709_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	23994	0	14.5790573859	0	0	0	0	1616553	6558566	0	2889073	0	11088186
SLX-14347.D709_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	37515	0	12.5192852601	0	0	0	0	2012082	11517159	0	2505104	0	16071860
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	38489	0	12.477103646	0	0	0	0	2069540	11906574	0	2572099	0	16586702
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	61326	0	18.2573380197	0	0	0	0	3455126	11697480	0	3710656	0	18924588
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	63304	0	18.1895139506	0	0	0	0	3528815	12013729	0	3794423	0	19400271
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	50357	0	16.4970868228	0	0	0	0	3035721	11027622	0	4287858	0	18401558
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	51194	0	16.5024356528	0	0	0	0	3094309	11245679	0	4359438	0	18750620
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	66185	0	19.0699267014	0	0	0	0	3903007	12279999	0	4217626	0	20466817
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	67636	0	19.0194935119	0	0	0	0	3991852	12602240	0	4326486	0	20988214
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	55114	0	17.0408578766	0	0	0	0	2775064	10321463	0	3133126	0	16284767
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	56517	0	17.0579065486	0	0	0	0	2859713	10628589	0	3219917	0	16764736
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	51441	0	14.9706095544	0	0	0	0	2992472	12163543	0	4781523	0	19988979
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	52236	0	14.9465737679	0	0	0	0	3077972	12541018	0	4921935	0	20593161
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	112754	0	25.1323434307	0	0	0	0	7606828	16826289	0	5721215	0	30267086
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	115818	0	25.0848158205	0	0	0	0	7843310	17406588	0	5901446	0	31267162
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	52027	0	16.1390677161	0	0	0	0	2671435	10964239	0	2864897	0	16552598
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	53208	0	16.1228909907	0	0	0	0	2745170	11283565	0	2944594	0	17026537
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	15226	0	11.8117158309	0	0	0	0	986476	4853538	0	2496434	0	8351674
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	15348	0	11.7712393963	0	0	0	0	1011585	5002898	0	2563869	0	8593700
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1.star	45488	0	18.3754161493	0	0	0	0	2576658	8593971	0	2806194	0	14022311
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1.star	46173	0	18.3219919543	0	0	0	0	2646242	8860528	0	2890039	0	14442982
